"X_coord","Y_COORD","HABITAT"
295000,5169260,1
295000,5170260,0
295000,5171260,1
295000,5172260,1
295000,5173260,0
295000,5174260,1
295000,5175260,1
295000,5176260,1
295000,5177260,1
295000,5178260,0
295000,5179260,1
295000,5180260,1
295000,5181260,1
295000,5182260,1
295000,5183260,1
295000,5184260,1
295000,5185260,1
295000,5186260,1
295000,5187260,1
295000,5188260,1
295000,5189260,1
295000,5190260,1
295000,5191260,1
295000,5192260,1
295000,5193260,1
295000,5194260,1
295000,5195260,1
295000,5196260,1
295000,5197260,1
295000,5198260,1
295000,5199260,1
295000,5200260,1
295000,5201260,1
295000,5202260,1
295000,5203260,1
295000,5204260,0
295000,5205260,1
295000,5206260,1
295000,5207260,0
295000,5208260,0
295000,5209260,1
295000,5210260,0
295000,5211260,1
295000,5212260,1
295000,5213260,1
295000,5214260,1
295000,5215260,1
295000,5216260,1
295000,5217260,1
295000,5218260,0
295000,5219260,1
295000,5220260,0
295000,5221260,1
295000,5222260,1
295000,5223260,1
295000,5224260,1
295000,5225260,0
295000,5226260,0
295000,5227260,1
295000,5228260,1
